
				 Aum Sri Sai Ram
FER on AffectNet using GACNN


Total included  287651 {0: 74874, 1: 134415, 2: 25459, 3: 14090, 4: 6378, 5: 3803, 6: 24882, 7: 3750}
Total included  4000 {0: 500, 1: 500, 2: 500, 3: 500, 4: 500, 5: 500, 6: 500, 7: 500}
length of  train Database for training: 287651
length of  test Database: 4000
Training starting:

Training Epoch: [0][0/2248]	Time  (12.921242475509644)	Data (3.7475874423980713)	loss  (2.0778088569641113)	Prec1  (10.15625) 	
Training Epoch: [0][100/2248]	Time  (2.3537150208312685)	Data (0.04042816398167374)	loss  (1.9269937607321408)	Prec1  (25.734838485717773) 	
Training Epoch: [0][200/2248]	Time  (2.303085724512736)	Data (0.021482531704119782)	loss  (1.7129281350036165)	Prec1  (34.69371795654297) 	
Training Epoch: [0][300/2248]	Time  (2.2906687243832304)	Data (0.014828263723176974)	loss  (1.5901592356025975)	Prec1  (39.51671600341797) 	
Training Epoch: [0][400/2248]	Time  (2.2871907072471562)	Data (0.011668274824756042)	loss  (1.5034216899526982)	Prec1  (43.00187301635742) 	
Training Epoch: [0][500/2248]	Time  (2.2783984942826443)	Data (0.009862308254736864)	loss  (1.4430500418840053)	Prec1  (45.46999740600586) 	
Training Epoch: [0][600/2248]	Time  (2.276802366466173)	Data (0.00861886495758412)	loss  (1.3936501906041099)	Prec1  (47.407962799072266) 	
Training Epoch: [0][700/2248]	Time  (2.2765584066829057)	Data (0.007708425698708876)	loss  (1.3527556514944057)	Prec1  (49.100616455078125) 	
Training Epoch: [0][800/2248]	Time  (2.2763971175147355)	Data (0.007069371612777424)	loss  (1.318152549189426)	Prec1  (50.50132369995117) 	
Training Epoch: [0][900/2248]	Time  (2.2796702808333555)	Data (0.006491118874586912)	loss  (1.289558545003059)	Prec1  (51.66135025024414) 	
Training Epoch: [0][1000/2248]	Time  (2.279352290527923)	Data (0.006108099883133834)	loss  (1.2628622542132626)	Prec1  (52.699642181396484) 	
Training Epoch: [0][1100/2248]	Time  (2.280416686788242)	Data (0.005780612415448846)	loss  (1.2378400383918098)	Prec1  (53.71608352661133) 	
Training Epoch: [0][1200/2248]	Time  (2.2798641363250325)	Data (0.005520419018353947)	loss  (1.2150431330456126)	Prec1  (54.640663146972656) 	
Training Epoch: [0][1300/2248]	Time  (2.27959149805607)	Data (0.005253399270575932)	loss  (1.1924757942339717)	Prec1  (55.552818298339844) 	
Training Epoch: [0][1400/2248]	Time  (2.2793239367850586)	Data (0.005078337347396862)	loss  (1.1711784976027337)	Prec1  (56.4423828125) 	
Training Epoch: [0][1500/2248]	Time  (2.280334096841221)	Data (0.00490735007634884)	loss  (1.1513038519062573)	Prec1  (57.22227096557617) 	
