
				 Aum Sri Sai Ram
FER on AffectNet-8 using OADN 


Namespace(arch='resnet50', batch_size=64, batch_size_t=64, database='Affectnet', end2end=True, epochs=60, evaluate=False, imagesize=224, lr=0.001, model_dir='checkpoints_affectnet8', momentum=0.9, num_attentive_regions=25, num_classes=8, num_regions=4, pretrained='pretrainedmodels/resnet50-19c8e357.pth', print_freq=100, resume='', root_path='../data/AffectNetdataset/Manually_Annotated_Images_aligned/', start_epoch=0, train_landmarksfile='../data/Affectnetmetadata/training_affectnet_landmarks_scores.pkl', train_list='../data/Affectnetmetadata/training.csv', valid_landmarksfile='../data/Affectnetmetadata/validation_affectnet_landmarks_scores.pkl', valid_list='../data/Affectnetmetadata/validation.csv', weight_decay=1e-05, workers=16)

img_dir:  ../data/AffectNetdataset/Manually_Annotated_Images_aligned/

checkpoints:  checkpoints_affectnet8
Total included  287651 {0: 74874, 1: 134415, 2: 25459, 3: 14090, 4: 6378, 5: 3803, 6: 24882, 7: 3750}
Total included  4000 {0: 500, 1: 500, 2: 500, 3: 500, 4: 500, 5: 500, 6: 500, 7: 500}
length of  train Database for training: 287651
length of  test Database: 4000

Number of parameters:
Base Model: 23508032, Attention Branch:526600, Region Branch:526600 and Total: 24561232

Model loaded for layers 1-4 from vggface2 pretrainedmodels/vgg_msceleb_resnet50_ft_weight.pkl

Training starting:

Training Epoch: [0][0/4495]	att_loss  (2.076219081878662)	region_loss (9.529242515563965)	overall_loss (8.0386381149292)	Prec1  (9.375) 	
Training Epoch: [0][100/4495]	att_loss  (2.0795347666976474)	region_loss (7.502454370555311)	overall_loss (6.41787055931469)	Prec1  (32.858909606933594) 	
Training Epoch: [0][200/4495]	att_loss  (2.0797938019482056)	region_loss (7.0051668318943)	overall_loss (6.02009233076181)	Prec1  (38.83706283569336) 	
Training Epoch: [0][300/4495]	att_loss  (2.0795872718392814)	region_loss (6.707097145410075)	overall_loss (5.781595264954424)	Prec1  (41.87603759765625) 	
Training Epoch: [0][400/4495]	att_loss  (2.079574719926068)	region_loss (6.4774609610921425)	overall_loss (5.597883804777911)	Prec1  (44.08120346069336) 	
Training Epoch: [0][500/4495]	att_loss  (2.0795760035752773)	region_loss (6.321016994065153)	overall_loss (5.4727288939043905)	Prec1  (45.58071517944336) 	
Training Epoch: [0][600/4495]	att_loss  (2.0795308678796802)	region_loss (6.182134767935399)	overall_loss (5.361614080118062)	Prec1  (46.83340072631836) 	
Training Epoch: [0][700/4495]	att_loss  (2.0795544809349593)	region_loss (6.0666826366527955)	overall_loss (5.269257096863337)	Prec1  (47.76881408691406) 	
Training Epoch: [0][800/4495]	att_loss  (2.079597656795297)	region_loss (5.967400058824918)	overall_loss (5.189839669381188)	Prec1  (48.61891174316406) 	
Training Epoch: [0][900/4495]	att_loss  (2.079545707469775)	region_loss (5.878614207351379)	overall_loss (5.118800600678489)	Prec1  (49.39130401611328) 	
Training Epoch: [0][1000/4495]	att_loss  (2.0795432680493944)	region_loss (5.803783977186525)	overall_loss (5.058935924248024)	Prec1  (50.034339904785156) 	
Training Epoch: [0][1100/4495]	att_loss  (2.079518036664777)	region_loss (5.734931358741046)	overall_loss (5.003848780078524)	Prec1  (50.59321212768555) 	
Training Epoch: [0][1200/4495]	att_loss  (2.079535022564077)	region_loss (5.679409568851734)	overall_loss (4.959434741740421)	Prec1  (51.044700622558594) 	
Training Epoch: [0][1300/4495]	att_loss  (2.079536090714486)	region_loss (5.629288973027609)	overall_loss (4.919338477564994)	Prec1  (51.41838073730469) 	
Training Epoch: [0][1400/4495]	att_loss  (2.079516228057077)	region_loss (5.582637361251482)	overall_loss (4.882013215583022)	Prec1  (51.777748107910156) 	
Training Epoch: [0][1500/4495]	att_loss  (2.079459590645014)	region_loss (5.536671058564564)	overall_loss (4.845228846910237)	Prec1  (52.138160705566406) 	
Training Epoch: [0][1600/4495]	att_loss  (2.0794640573243064)	region_loss (5.4952055923943215)	overall_loss (4.812057367345082)	Prec1  (52.45940399169922) 	
Training Epoch: [0][1700/4495]	att_loss  (2.079468348108972)	region_loss (5.455237251810996)	overall_loss (4.780083551188205)	Prec1  (52.764915466308594) 	
Training Epoch: [0][1800/4495]	att_loss  (2.07946370999592)	region_loss (5.419306647704747)	overall_loss (4.751338139830001)	Prec1  (52.99746322631836) 	
Training Epoch: [0][1900/4495]	att_loss  (2.0794642527187452)	region_loss (5.384498331685997)	overall_loss (4.723491594077787)	Prec1  (53.284454345703125) 	
Training Epoch: [0][2000/4495]	att_loss  (2.079469947085745)	region_loss (5.351249432337397)	overall_loss (4.696893612662891)	Prec1  (53.48341751098633) 	
Training Epoch: [0][2100/4495]	att_loss  (2.079468625888888)	region_loss (5.31793017366964)	overall_loss (4.670237941551299)	Prec1  (53.76011657714844) 	
Training Epoch: [0][2200/4495]	att_loss  (2.079474874758168)	region_loss (5.28773203431233)	overall_loss (4.646080678834096)	Prec1  (54.01805877685547) 	
Training Epoch: [0][2300/4495]	att_loss  (2.0794690961891646)	region_loss (5.257037312193883)	overall_loss (4.621523743968899)	Prec1  (54.24271774291992) 	
Training Epoch: [0][2400/4495]	att_loss  (2.079477991376604)	region_loss (5.234061300233224)	overall_loss (4.603144711824518)	Prec1  (54.38554382324219) 	
Training Epoch: [0][2500/4495]	att_loss  (2.0794776481230324)	region_loss (5.206718163412125)	overall_loss (4.581270132861772)	Prec1  (54.564422607421875) 	
Training Epoch: [0][2600/4495]	att_loss  (2.079479842770792)	region_loss (5.181108078375453)	overall_loss (4.560782503595906)	Prec1  (54.73916244506836) 	
Training Epoch: [0][2700/4495]	att_loss  (2.0794794868425455)	region_loss (5.1534276742133684)	overall_loss (4.538638108132372)	Prec1  (54.9466667175293) 	
Training Epoch: [0][2800/4495]	att_loss  (2.079481725563368)	region_loss (5.128913348251392)	overall_loss (4.519027094635015)	Prec1  (55.10587692260742) 	
Training Epoch: [0][2900/4495]	att_loss  (2.079476017904298)	region_loss (5.1059003460616825)	overall_loss (4.500615550090181)	Prec1  (55.242801666259766) 	
Training Epoch: [0][3000/4495]	att_loss  (2.0794664172083883)	region_loss (5.085864704317031)	overall_loss (4.484585116442662)	Prec1  (55.39924240112305) 	
Training Epoch: [0][3100/4495]	att_loss  (2.0794510443108347)	region_loss (5.064523537979323)	overall_loss (4.4675091073344655)	Prec1  (55.56826400756836) 	
Training Epoch: [0][3200/4495]	att_loss  (2.0794504562492335)	region_loss (5.044866393186718)	overall_loss (4.451783272893084)	Prec1  (55.69890213012695) 	
Training Epoch: [0][3300/4495]	att_loss  (2.0794423228139336)	region_loss (5.025474443106318)	overall_loss (4.436268085929272)	Prec1  (55.86091613769531) 	
Training Epoch: [0][3400/4495]	att_loss  (2.079443966280324)	region_loss (5.005910884559382)	overall_loss (4.42061756723455)	Prec1  (56.007423400878906) 	
Training Epoch: [0][3500/4495]	att_loss  (2.079439665037916)	region_loss (4.9861061703099825)	overall_loss (4.404772935135641)	Prec1  (56.152706146240234) 	
Training Epoch: [0][3600/4495]	att_loss  (2.0794341013319655)	region_loss (4.9689293788294435)	overall_loss (4.39103038858553)	Prec1  (56.280372619628906) 	
Training Epoch: [0][3700/4495]	att_loss  (2.0794282396945785)	region_loss (4.951041680740299)	overall_loss (4.3767190571573416)	Prec1  (56.416343688964844) 	
Training Epoch: [0][3800/4495]	att_loss  (2.079420948179105)	region_loss (4.934555390796295)	overall_loss (4.363528566904929)	Prec1  (56.52665710449219) 	
